Abbreviation,Name
Oriental Charms International,Oriental Charms International Limited
SWEET DEALS HOLDINGS,SWEET DEALS HOLDINGS LIMITED
COLOURFUL RAINBOW HOLDINGS,COLOURFUL RAINBOW HOLDINGS LIMITED
Colour Waves Offshore,Colour Waves Offshore Limited 
Bassoe Technology AB,Bassoe Technology AB
Brevik  Engeering AS,Brevik  Engeering AS
Gulf Driller IV,Gulf Driller IV Limited
Gulf Driller V ,Gulf Driller V Limited
Ocean Innovator,Ocean Innovator Limited
Elegant Driller I,Elegant Driller I Ltd
Elegant Driller II,Elegant Driller II Ltd
Elegant Driller III,Elegant Driller III Ltd
Elegant Driller IV,Elegant Driller IV Ltd
铁中宝,"烟台铁中宝钢铁加工有限公司
Yantai Tiezhongbao  Steel  Processing Co.,Ltd . 
"
中集海控,"中集海洋工程有限公司
CIMC Offshore Holidings Co., Ltd"
天津蓝水,天津蓝水海洋工程合伙企业（有限合伙）
烟台蓝海洋,烟台中集蓝海洋科技有限公司
Prometheus Venture B.V.,Prometheus Venture B.V.
CIMC OOS PROMETHEUS B.V.,CIMC OOS PROMETHEUS B.V.
CIMC Offshore AS,CIMC Offshore AS
CIMC Offshore International,CIMC Offshore International holding Pte. Ltd.
Elegant Driller SG,Elegant Driller Pte Ltd
Surpass Driller SG,Surpass Driller Pte Ltd
Dynamic Driller II SG,Dynamic Driller II Pte Ltd
Gulf Driller IV SG,Gulf Driller IV Pte Ltd
Gulf Driller V SG,Gulf Driller V Pte Ltd
BWO MX,BWO Mexico S.A. de C.V.
经海渔业,烟台经海海洋渔业有限公司
,板块本部
烟台中集莱佛士船业,"烟台中集莱佛士船业有限公司
Yantai CIMC Raffles Shipyard Co., Ltd
"
Raffles Yacht,CIMC Raffles Yacht Limited
南隍城海洋,山东南隍城海洋开发有限公司
重卡,集瑞联合重工有限公司
联合卡车营销公司,集瑞联合卡车营销服务有限公司
佳景科技,芜湖佳景科技有限公司
联合新能源,芜湖联合新能源重卡产业技术研究院有限公司
安徽联合飞彩,安徽联合飞彩车辆有限公司
玉柴联合动力,玉柴联合动力股份有限公司
安徽飞彩集团,安徽飞彩（集团）有限公司
深圳三华卓悦,深圳三华卓悦投资有限公司
河南一达天下物流,河南一达天下物流科技有限公司
合肥创宇新能源,合肥创宇新能源科技有限公司
现代物流,中集现代物流发展有限公司
中集国际航运,中集国际航运有限公司
SPEEDIC ENTERPRICE,SPEEDIC ENTERPRICE CROP.
Speedic Equipment Services,Speedic Equipment Services Corp
Asia cargo,亚洲凌云有限公司（Asia cargo）
东莞小飞鱼,东莞中集小飞鱼物流科技有限公司
中世运投资,中世运（北京）投资有限公司
中世运物流,中世运（北京）国际物流有限公司
中世运贸易,中世运（北京）国际贸易有限公司
中世运货代,中世运（天津）国际货运代理有限公司
中世运香港,中世运（香港）国际物流有限公司
丑鸭,丑鸭有限公司
中集凯通,中集凯通物流发展有限公司
张家港凯通,张家港凯通国际物流有限公司
江苏凯通,江苏凯通航运有限公司
凯通武汉,中集凯通（武汉）物流发展有限公司
凯通江西,中集凯通（江西）物流发展有限公司
凯通陕西,中集凯通（陕西）物流发展有限公司
中集苏杭,中集苏航（常州）物流有限公司
凯通江苏国际,中集凯通江苏国际多式联运有限公司
凯通苏州,中集凯通（苏州）物流发展有限公司
广西凯通,中集凯通（广西）供应链管理有限公司
宇常通,宇常通多式联运（江苏）有限公司
柏坚控股,柏坚国际控股有限公司
栢坚香港,柏坚货柜机械维修有限公司
深圳柏坚,柏坚货柜机械维修（深圳）有限公司
上海柏坚,柏坚货柜机械维修（上海）有限公司
青岛恒丰,青岛恒丰物流有限公司
上海振洋,中集振洋（上海）物流有限公司
上海东华,东华集装箱综合服务有限公司
上海利帆,上海利帆集装箱服务有限公司
宁波服务,宁波中集集装箱服务有限公司
南方服务,"深圳南方中集集装箱服务有限公司
Shenzhen Southern CIMC Container Service Co. Ltd."
盐田服务,深圳中集盐田港集装箱服务有限公司
泰国服务,CIMC LOGISTIC SERVICE (THAILAND) COMPANY LIMITED
广州服务,广州中集集装箱维修服务有限公司
中集集新,中集集新物流发展有限公司
南方物流,深圳南方中集物流有限公司
振华物流,振华物流集团有限公司
天津报关行,天津振华报关行有限公司
青岛报关行,青岛振华报关行有限公司
天津船代,天津振华国际船舶代理有限公司
宁波船代,宁波振华国际船务代理有限公司
大连船代,大连振华国际船务代理有限公司
连云港船代,连云港振华国际船舶代理有限公司
青岛船代,振华国际船务代理（青岛）有限公司
上海船代,上海振华国际船务代理有限公司
盐城船代,盐城振华国际船舶代理有限公司
烟台船代,烟台振华国际船务代理有限公司
物流运输,天津振华国际物流运输有限公司
振华东疆,振华东疆（天津）有限公司
保税仓储,天津振华国际贸易保税仓储有限公司
振华油站,天津港保税区振华加油站
港湾油站,天津港保税区港湾加油服务有限责任公司
振华香港,振华物流（香港）有限公司
豊華,豊華物流有限公司
振华海晶,天津振华海晶物流有限公司
天津国润,天津国润振华能源技术有限公司
凯昌石油,天津港保税区凯昌石油销售有限公司
供应链,振华（天津）供应链管理有限公司
集装箱服务,天津振华集装箱服务有限公司
振华东非,振华物流（东非）有限公司
营口船代,营口振华国际船务代理有限公司
蓬莱船代,蓬莱振华国际船务代理有限公司
振华坦桑尼亚,振华物流（坦桑尼亚）有限公司
振华卢旺达,SUMMIT INTERNATIONAL LOGISTICS LTD
振华越南,振华物流（越南）有限公司
涅浦顿,涅浦顿供应链科技（上海）股份有限公司
Neptune,Neptune Shipping Limited
涅浦顿供应链管理,上海涅浦顿供应链管理有限公司
上海翘曲点,翘曲点供应链（上海）有限公司
江苏涅浦顿,江苏涅浦顿供应链有限责任公司
青岛涅浦顿,青岛涅浦顿供应链科技有限公司
大连涅浦顿,大连涅浦顿供应链科技有限公司
山东翘曲点,山东翘曲点供应链管理有限公司
首农食品,天津港首农食品进出口贸易有限公司
赤峰绿田园,赤峰绿田园农场有限公司
加华海运,加华海运有限公司
世铁特货,世铁特货（北京）国际物流有限公司
上海德威,上海柏坚德威集装箱维修有限公司
青岛捷丰,青岛捷丰柏坚货柜维修有限公司
天津金狮,天津金狮柏坚集装箱维修有限公司
大连集龙,大连集龙柏坚货柜维修有限公司
大连集龙物流,大连集龙物流有限公司
厦门中集海投,厦门中集海投集装箱服务有限公司
青岛港联华,青岛港联华国际物流有限公司
宁波北仑东华,宁波北仑东华集装箱服务有限公司
宁波地中海堆场,宁波地中海集装箱堆场有限公司
鑫都货运,鑫都货运有限公司
上海天珠,天珠（上海）国际货运代理有限公司
日邮振华,日邮振华物流（天津）有限公司
川崎振华,川崎振华物流（天津）有限公司
首农牧业,天津首农东疆牧业有限责任公司
青岛港国贸,青岛港国际贸易物流有限公司
ZPMC-RED BOX,ZPMC-RED BOX ENERGY SERVICES LIMITED
天津港振华,天津港中集振华物流有限公司
滨海中远,天津滨海中远集装箱物流有限公司
中集东瀚,中集东瀚（上海）航运有限公司
